,Date,Country,Energy_MoM,Food_MoM,Total_MoM,core_MoM,exchange_rate,unemployment_rate,gdp_growth_MoM,Open,High,Low,Close,Adj Close,Volume,interest_rate
5646,2017-05-01,Germany,1.5087645,1.5087645,1.5087645,1.5087645,98.33,3.6,0.243938681225712,1.3035407078886667,1.307830189862195,1.3155135997920584,1.304077021980699,1.304077021980699,1.0850613744557966,0.0
5647,2017-05-01,Italy,2.5995428,2.5995428,2.5995428,2.5995428,101.2,11.4,0.1304253633948671,-0.6959248711277466,-0.7052030301820651,-0.6933848608424797,-0.7096729776446115,-0.7096729776446115,0.3109225266353636,0.0
5648,2017-05-01,Japan,1.586912675,1.586912675,1.586912675,1.586912675,97.66,3.0,0.1127093095042588,0.654568934792253,0.6472334764406613,0.6631657807771191,0.6571938824331393,0.6571938824331393,1.307727127454667,-0.1
5649,2017-05-01,United Kingdom,3.35,3.35,3.35,3.35,100.94,4.5,0.1801654543922768,1.3274053448694825,1.334167179016686,1.347707170474792,1.3239278838360695,1.3239278838360695,1.9043092523699063,0.25
5650,2017-05-01,United States,2.216925825,2.216925825,2.216925825,2.216925825,98.19,4.4,0.1597464175183625,1.5549842269499676,1.5419403518095498,1.5560520865984553,1.5499953771494372,1.5499953771494372,2.0585386099596694,0.875
5651,2017-06-01,Canada,0.19986175,0.19986175,0.19986175,0.19986175,100.3,6.5,0.2708612503947591,1.0851822124164268,1.0741479543901564,1.0781765852192848,1.0764977143312813,1.0764548520606294,0.7146464621347118,0.5
5652,2017-06-01,France,0.974730475,0.974730475,0.974730475,0.974730475,99.55,9.5,0.226791833634419,0.6297574368476623,0.6307592212367444,0.6270681890041627,0.606633801119507,0.606633801119507,0.4915850696345253,0.0
5653,2017-06-01,Germany,1.2456484,1.2456484,1.2456484,1.2456484,99.14,3.6,0.243938681225712,1.261482702293648,1.2523347192305412,1.2561673877514856,1.2392263234463798,1.2392263234463798,0.5682411128074197,0.0
5654,2017-06-01,Italy,1.898663675,1.898663675,1.898663675,1.898663675,101.41,11.2,0.1304253633948671,-0.7077682335147626,-0.717348375671415,-0.7124590976188568,-0.7277401971471766,-0.7277401971471766,-0.3127148116183216,0.0
5655,2017-06-01,Japan,1.477885725,1.477885725,1.477885725,1.477885725,97.99,2.8,0.1127093095042588,0.6991602583973898,0.6887736233032276,0.7037295450048521,0.7003843727809024,0.7003843727809024,1.1734261347965518,-0.1
5656,2017-06-01,United Kingdom,2.9,2.9,2.9,2.9,98.66,4.4,0.1801654543922768,1.2391516302785377,1.230061191333757,1.2383577910020431,1.2200978152850008,1.2200978152850008,0.4971833110074496,0.25
5657,2017-06-01,United States,1.39716524,1.39716524,1.39716524,1.39716524,96.54,4.3,0.1597464175183625,1.5673258334064812,1.5572564608380908,1.5727827838473962,1.5606864581382218,1.5606864581382218,1.3773583440786488,1.125
5658,2017-07-01,Canada,0.67509935,0.67509935,0.67509935,0.67509935,104.57,6.3,0.0103596866153148,1.070613594953755,1.0686275708067472,1.0826155456894964,1.069838381963017,1.0697977622674026,0.4928212652119603,0.75
5659,2017-07-01,France,0.983266625,0.983266625,0.983266625,0.983266625,99.69,9.6,0.2190480567915782,0.6107116778609905,0.6027679000110147,0.6110389141588495,0.5895246500656267,0.5895246500656267,0.3499144095019389,0.0
5660,2017-07-01,Germany,1.411530575,1.411530575,1.411530575,1.411530575,100.34,3.5,0.1768759887120354,1.198185329601222,1.196850111915588,1.2063058134097169,1.1929557263927872,1.1929557263927872,0.2916682336477642,0.0
5661,2017-07-01,Italy,1.59189495,1.59189495,1.59189495,1.59189495,102.09,11.4,0.1144847537950886,-0.6240100211694742,-0.6253381825702793,-0.6025088792582121,-0.6175057430200396,-0.6175057430200396,-0.5444643999700036,0.0
5662,2017-07-01,Japan,1.630685775,1.630685775,1.630685775,1.630685775,95.59,2.8,0.2383368469889177,0.6887618439177529,0.6820342109811842,0.697529121600754,0.6881726551492122,0.6881726551492122,1.5478889025609437,-0.1
5663,2017-07-01,United Kingdom,2.825,2.825,2.825,2.825,98.53,4.4,0.1782018041259072,1.2482174593475113,1.2540090910730548,1.271212848631869,1.2497992556459785,1.2497992556459785,0.3704230711915076,0.25
5664,2017-07-01,United States,1.778148525,1.778148525,1.778148525,1.778148525,94.74,4.3,0.213849754147239,1.609834577649868,1.5987071275795073,1.616212754464228,1.603865799452684,1.603865799452684,1.442341904308442,1.125
5665,2017-08-01,Canada,1.36198505,1.36198505,1.36198505,1.36198505,104.81,6.2,0.0103596866153148,1.0715176502379111,1.0721578109008492,1.0839786359346166,1.0816617999866016,1.0816171986753162,0.8231724938374393,0.75
