,date,country,Energy_IDX2015,Food_IDX2015,Total_IDX2015,core_IDX2015,Energy_MoM,Food_MoM,Total_MoM,core_MoM
244,1935-05,Canada,,,5.688702,,,,0.0,
245,1935-06,Canada,,,5.688702,,,,0.0,
246,1935-07,Canada,,,5.688702,,,,0.0,
247,1935-08,Canada,,,5.688702,,,,0.0,
248,1935-09,Canada,,,5.767711,,,,1.388889,
249,1935-10,Canada,,,5.767711,,,,1.388889,
250,1935-11,Canada,,,5.846721,,,,2.777778,
251,1935-12,Canada,,,5.846721,,,,2.777778,
252,1936-01,Canada,,,5.846721,,,,2.777778,
253,1936-02,Canada,,,5.846721,,,,2.777778,
254,1936-03,Canada,,,5.846721,,,,2.777778,
255,1936-04,Canada,,,5.767711,,,,1.388889,
256,1936-05,Canada,,,5.767711,,,,1.388889,
257,1936-06,Canada,,,5.767711,,,,1.388889,
258,1936-07,Canada,,,5.846721,,,,2.777778,
259,1936-08,Canada,,,5.846721,,,,2.777778,
260,1936-09,Canada,,,5.846721,,,,1.369863,
261,1936-10,Canada,,,5.925731,,,,2.739726,
262,1936-11,Canada,,,5.925731,,,,1.351351,
263,1936-12,Canada,,,5.925731,,,,1.351351,
264,1937-01,Canada,,,6.004741,,,,2.702703,
265,1937-02,Canada,,,6.004741,,,,2.702703,
266,1937-03,Canada,,,6.004741,,,,2.702703,
267,1937-04,Canada,,,6.004741,,,,4.109589,
268,1937-05,Canada,,,6.004741,,,,4.109589,
269,1937-06,Canada,,,6.004741,,,,4.109589,
270,1937-07,Canada,,,6.004741,,,,2.702703,
271,1937-08,Canada,,,6.08375,,,,4.054054,
272,1937-09,Canada,,,6.08375,,,,4.054054,
273,1937-10,Canada,,,6.16276,,,,4.0,
274,1937-11,Canada,,,6.16276,,,,4.0,
275,1937-12,Canada,,,6.16276,,,,4.0,
276,1938-01,Canada,,,6.08375,,,,1.315789,
277,1938-02,Canada,,,6.08375,,,,1.315789,
278,1938-03,Canada,,,6.16276,,,,2.631579,
279,1938-04,Canada,,,6.16276,,,,2.631579,
280,1938-05,Canada,,,6.08375,,,,1.315789,
281,1938-06,Canada,,,6.08375,,,,1.315789,
282,1938-07,Canada,,,6.16276,,,,2.631579,
283,1938-08,Canada,,,6.16276,,,,1.298701,
284,1938-09,Canada,,,6.08375,,,,0.0,
285,1938-10,Canada,,,6.004741,,,,-2.564103,
286,1938-11,Canada,,,6.004741,,,,-2.564103,
287,1938-12,Canada,,,6.004741,,,,-2.564103,
288,1939-01,Canada,,,6.004741,,,,-1.298701,
289,1939-02,Canada,,,6.004741,,,,-1.298701,
290,1939-03,Canada,,,6.004741,,,,-2.564103,
291,1939-04,Canada,,,6.004741,,,,-2.564103,
292,1939-05,Canada,,,6.004741,,,,-1.298701,
293,1939-06,Canada,,,6.004741,,,,-1.298701,
294,1939-07,Canada,,,6.004741,,,,-2.564103,
295,1939-08,Canada,,,6.004741,,,,-2.564103,
296,1939-09,Canada,,,6.004741,,,,-1.298701,
297,1939-10,Canada,,,6.16276,,,,2.631579,
298,1939-11,Canada,,,6.16276,,,,2.631579,
299,1939-12,Canada,,,6.16276,,,,2.631579,
300,1940-01,Canada,,,6.16276,,,,2.631579,
301,1940-02,Canada,,,6.16276,,,,2.631579,
302,1940-03,Canada,,,6.24177,,,,3.947368,
303,1940-04,Canada,,,6.24177,,,,3.947368,
304,1940-05,Canada,,,6.24177,,,,3.947368,
305,1940-06,Canada,,,6.24177,,,,3.947368,
306,1940-07,Canada,,,6.32078,,,,5.263158,
307,1940-08,Canada,,,6.32078,,,,5.263158,
308,1940-09,Canada,,,6.399789,,,,6.578948,
309,1940-10,Canada,,,6.399789,,,,3.846154,
310,1940-11,Canada,,,6.399789,,,,3.846154,
311,1940-12,Canada,,,6.478799,,,,5.128205,
312,1941-01,Canada,,,6.478799,,,,5.128205,
313,1941-02,Canada,,,6.478799,,,,5.128205,
314,1941-03,Canada,,,6.478799,,,,3.797468,
315,1941-04,Canada,,,6.478799,,,,3.797468,
316,1941-05,Canada,,,6.478799,,,,3.797468,
317,1941-06,Canada,,,6.636818,,,,6.329114,
318,1941-07,Canada,,,6.715828,,,,6.25,
319,1941-08,Canada,,,6.794838,,,,7.5,
320,1941-09,Canada,,,6.873848,,,,7.407407,
321,1941-10,Canada,,,6.873848,,,,7.407407,
322,1941-11,Canada,,,6.952857,,,,8.641975,
323,1941-12,Canada,,,6.873848,,,,6.097561,
324,1942-01,Canada,,,6.873848,,,,6.097561,
325,1942-02,Canada,,,6.873848,,,,6.097561,
326,1942-03,Canada,,,6.952857,,,,7.317073,
327,1942-04,Canada,,,6.952857,,,,7.317073,
328,1942-05,Canada,,,6.952857,,,,7.317073,
329,1942-06,Canada,,,6.952857,,,,4.761905,
330,1942-07,Canada,,,7.031867,,,,4.705883,
331,1942-08,Canada,,,7.031867,,,,3.488372,
332,1942-09,Canada,,,6.952857,,,,1.149425,
333,1942-10,Canada,,,7.031867,,,,2.298851,
334,1942-11,Canada,,,7.110877,,,,2.272727,
335,1942-12,Canada,,,7.110877,,,,3.448276,
336,1943-01,Canada,,,6.952857,,,,1.149425,
337,1943-02,Canada,,,6.952857,,,,1.149425,
338,1943-03,Canada,,,6.952857,,,,0.0,
339,1943-04,Canada,,,7.110877,,,,2.272727,
340,1943-05,Canada,,,7.110877,,,,2.272727,
341,1943-06,Canada,,,7.110877,,,,2.272727,
342,1943-07,Canada,,,7.189887,,,,2.247191,
343,1943-08,Canada,,,7.189887,,,,2.247191,
344,1943-09,Canada,,,7.268897,,,,4.545455,
345,1943-10,Canada,,,7.268897,,,,3.370786,
346,1943-11,Canada,,,7.268897,,,,2.222222,
347,1943-12,Canada,,,7.268897,,,,2.222222,
348,1944-01,Canada,,,7.189887,,,,3.409091,
349,1944-02,Canada,,,7.189887,,,,3.409091,
350,1944-03,Canada,,,7.189887,,,,3.409091,
351,1944-04,Canada,,,7.189887,,,,1.111111,
352,1944-05,Canada,,,7.189887,,,,1.111111,
353,1944-06,Canada,,,7.189887,,,,1.111111,
354,1944-07,Canada,,,7.189887,,,,0.0,
355,1944-08,Canada,,,7.189887,,,,0.0,
356,1944-09,Canada,,,7.189887,,,,-1.086957,
357,1944-10,Canada,,,7.189887,,,,-1.086957,
358,1944-11,Canada,,,7.189887,,,,-1.086957,
359,1944-12,Canada,,,7.110877,,,,-2.173913,
360,1945-01,Canada,,,7.110877,,,,-1.098901,
361,1945-02,Canada,,,7.189887,,,,0.0,
362,1945-03,Canada,,,7.189887,,,,0.0,
363,1945-04,Canada,,,7.189887,,,,0.0,
364,1945-05,Canada,,,7.189887,,,,0.0,
365,1945-06,Canada,,,7.268897,,,,1.098901,
366,1945-07,Canada,,,7.268897,,,,1.098901,
367,1945-08,Canada,,,7.268897,,,,1.098901,
368,1945-09,Canada,,,7.268897,,,,1.098901,
369,1945-10,Canada,,,7.268897,,,,1.098901,
370,1945-11,Canada,,,7.268897,,,,1.098901,
371,1945-12,Canada,,,7.268897,,,,2.222222,
372,1946-01,Canada,,,7.268897,,,,2.222222,
373,1946-02,Canada,,,7.268897,,,,1.098901,
374,1946-03,Canada,,,7.268897,,,,1.098901,
375,1946-04,Canada,,,7.268897,,,,1.098901,
376,1946-05,Canada,,,7.268897,,,,1.098901,
377,1946-06,Canada,,,7.426916,,,,2.173913,
378,1946-07,Canada,,,7.505926,,,,3.26087,
379,1946-08,Canada,,,7.584936,,,,4.347826,
380,1946-09,Canada,,,7.584936,,,,4.347826,
381,1946-10,Canada,,,7.663945,,,,5.434783,
382,1946-11,Canada,,,7.663945,,,,5.434783,
383,1946-12,Canada,,,7.663945,,,,5.434783,
384,1947-01,Canada,,,7.663945,,,,5.434783,
385,1947-02,Canada,,,7.663945,,,,5.434783,
386,1947-03,Canada,,,7.742955,,,,6.521739,
387,1947-04,Canada,,,7.821965,,,,7.608696,
388,1947-05,Canada,,,7.979984,,,,9.782609,
389,1947-06,Canada,,,8.058994,,,,8.510638,
390,1947-07,Canada,,,8.138003,,,,8.421053,
391,1947-08,Canada,,,8.138003,,,,7.291667,
392,1947-09,Canada,,,8.375033,,,,10.41667,
393,1947-10,Canada,,,8.533052,,,,11.34021,
394,1947-11,Canada,,,8.612062,,,,12.37113,
395,1947-12,Canada,,,8.770082,,,,14.43299,
396,1948-01,Canada,,,8.849092,,,,15.46392,
397,1948-02,Canada,,,9.007111,,,,17.52577,
398,1948-03,Canada,,,9.007111,,,,16.32653,
399,1948-04,Canada,,,9.086121,,,,16.16162,
400,1948-05,Canada,,,9.165131,,,,14.85149,
401,1948-06,Canada,,,9.32315,,,,15.68627,
402,1948-07,Canada,,,9.32315,,,,14.56311,
403,1948-08,Canada,,,9.40216,,,,15.53398,
404,1948-09,Canada,,,9.560179,,,,14.15094,
405,1948-10,Canada,,,9.560179,,,,12.03704,
406,1948-11,Canada,,,9.560179,,,,11.00917,
407,1948-12,Canada,,,9.560179,,,,9.009009,
408,1949-01,Canada,,,9.560179,,,,8.035714,
409,1949-02,Canada,,,9.560179,,,,6.140351,
410,1949-03,Canada,,,9.560179,,,,6.140351,
411,1949-04,Canada,,,9.560179,,,,5.217391,
412,1949-05,Canada,,,9.560179,,,,4.310345,
413,1949-06,Canada,,,9.560179,,,,2.542373,
414,1949-07,Canada,,,9.560179,,,,2.542373,
415,1949-08,Canada,,,9.639189,,,,2.521008,
416,1949-09,Canada,,,9.639189,,,,0.8264463,
417,1949-10,Canada,,,9.718199,,,,1.652893,
418,1949-11,Canada,,,9.718199,,,,1.652893,
419,1949-12,Canada,,,9.639189,,,,0.8264463,
420,1950-01,Canada,,,9.560179,,,,0.0,
421,1950-02,Canada,,,9.639189,,,,0.8264463,
422,1950-03,Canada,,,9.718199,,,,1.652893,
423,1950-04,Canada,,,9.718199,,,,1.652893,
424,1950-05,Canada,,,9.718199,,,,1.652893,
425,1950-06,Canada,,,9.718199,,,,1.652893,
426,1950-07,Canada,,,9.797209,,,,2.479339,
427,1950-08,Canada,,,9.876218,,,,2.459016,
428,1950-09,Canada,,,10.03424,,,,4.098361,
429,1950-10,Canada,,,10.19226,,,,4.878049,
430,1950-11,Canada,,,10.19226,,,,4.878049,
431,1950-12,Canada,,,10.19226,,,,5.737705,
432,1951-01,Canada,,,10.27127,,,,7.438016,
433,1951-02,Canada,,,10.5083,,,,9.016394,
434,1951-03,Canada,,,10.58731,,,,8.943089,
435,1951-04,Canada,,,10.74533,,,,10.56911,
436,1951-05,Canada,,,10.74533,,,,10.56911,
437,1951-06,Canada,,,10.98235,,,,13.00813,
438,1951-07,Canada,,,10.98235,,,,12.09677,
439,1951-08,Canada,,,11.06136,,,,12.0,
440,1951-09,Canada,,,11.14037,,,,11.02362,
441,1951-10,Canada,,,11.21938,,,,10.07752,
442,1951-11,Canada,,,11.29839,,,,10.85271,
443,1951-12,Canada,,,11.29839,,,,10.85271,
444,1952-01,Canada,,,11.3774,,,,10.76923,
445,1952-02,Canada,,,11.29839,,,,7.518797,
446,1952-03,Canada,,,11.21938,,,,5.970149,
447,1952-04,Canada,,,11.21938,,,,4.411765,
448,1952-05,Canada,,,11.14037,,,,3.676471,
449,1952-06,Canada,,,11.14037,,,,1.438849,
450,1952-07,Canada,,,11.14037,,,,1.438849,
451,1952-08,Canada,,,11.14037,,,,0.7142857,
452,1952-09,Canada,,,11.14037,,,,0.0,
453,1952-10,Canada,,,11.14037,,,,-0.7042254,
454,1952-11,Canada,,,11.14037,,,,-1.398601,
455,1952-12,Canada,,,11.14037,,,,-1.398601,
456,1953-01,Canada,,,11.14037,,,,-2.083333,
457,1953-02,Canada,,,11.06136,,,,-2.097902,
458,1953-03,Canada,,,10.98235,,,,-2.112676,
459,1953-04,Canada,,,10.98235,,,,-2.112676,
460,1953-05,Canada,,,10.98235,,,,-1.41844,
461,1953-06,Canada,,,10.98235,,,,-1.41844,
462,1953-07,Canada,,,10.98235,,,,-1.41844,
463,1953-08,Canada,,,11.14037,,,,0.0,
464,1953-09,Canada,,,11.14037,,,,0.0,
465,1953-10,Canada,,,11.21938,,,,0.7092199,
466,1953-11,Canada,,,11.14037,,,,0.0,
467,1953-12,Canada,,,11.14037,,,,0.0,
468,1954-01,Canada,,,11.14037,,,,0.0,
469,1954-02,Canada,,,11.14037,,,,0.7142857,
470,1954-03,Canada,,,11.06136,,,,0.7194245,
471,1954-04,Canada,,,11.06136,,,,0.7194245,
472,1954-05,Canada,,,11.06136,,,,0.7194245,
473,1954-06,Canada,,,11.14037,,,,1.438849,
474,1954-07,Canada,,,11.14037,,,,1.438849,
475,1954-08,Canada,,,11.21938,,,,0.7092199,
476,1954-09,Canada,,,11.21938,,,,0.7092199,
477,1954-10,Canada,,,11.21938,,,,0.0,
478,1954-11,Canada,,,11.21938,,,,0.7092199,
479,1954-12,Canada,,,11.14037,,,,0.0,
480,1955-01,Canada,,,11.14037,,,,0.0,
481,1955-02,Canada,,,11.14037,,,,0.0,
482,1955-03,Canada,,,11.14037,,,,0.7142857,
483,1955-04,Canada,,,11.14037,,,,0.7142857,
