TIME_PERIOD,interest_rate,country
1979-08,10.25,France
1979-09,11.25,France
1979-10,11.5,France
1979-11,12.0,France
1979-12,12.125,France
1980-01,12.0,France
1980-02,12.375,France
1980-03,12.875,France
1980-04,12.75,France
1980-05,12.75,France
1980-06,12.25,France
1980-07,12.0,France
1980-08,11.25,France
1980-09,11.25,France
1980-10,11.25,France
1980-11,11.25,France
1980-12,11.25,France
1981-01,10.75,France
1981-02,10.75,France
1981-03,10.75,France
1981-04,10.75,France
1981-05,10.75,France
1981-06,10.75,France
1981-07,17.5,France
1981-08,17.125,France
1981-09,17.75,France
1981-10,15.5,France
1981-11,15.25,France
1981-12,14.75,France
1982-01,14.75,France
1982-02,14.125,France
1982-03,17.0,France
1982-04,16.0,France
1982-05,16.0,France
1982-06,15.25,France
1982-07,14.75,France
1982-08,14.0,France
1982-09,13.75,France
1982-10,13.25,France
1982-11,13.0,France
1982-12,12.75,France
1983-01,12.5,France
1983-02,12.5,France
1983-03,12.5,France
1983-04,12.5,France
1983-05,12.5,France
1983-06,12.25,France
1983-07,12.25,France
1983-08,12.25,France
1983-09,12.25,France
1983-10,12.25,France
1983-11,12.0,France
1983-12,12.0,France
1984-01,12.0,France
1984-02,12.0,France
1984-03,12.0,France
1984-04,12.0,France
1984-05,11.75,France
1984-06,11.5,France
1984-07,11.25,France
1984-08,11.25,France
1984-09,11.0,France
1984-10,11.0,France
1984-11,10.75,France
1984-12,10.75,France
1985-01,10.5,France
1985-02,10.5,France
1985-03,10.5,France
1985-04,10.25,France
1985-05,10.125,France
1985-06,10.125,France
1985-07,9.625,France
1985-08,9.625,France
1985-09,9.375,France
1985-10,9.125,France
1985-11,8.75,France
1985-12,8.75,France
1986-01,8.75,France
1986-02,8.5,France
1986-03,8.25,France
1986-04,7.5,France
1986-05,7.25,France
1986-06,7.0,France
1986-07,7.0,France
1986-08,7.0,France
1986-09,7.0,France
1986-10,7.0,France
1986-11,7.0,France
1986-12,7.25,France
1987-01,8.0,France
1987-02,8.0,France
1987-03,7.75,France
1987-04,7.75,France
1987-05,7.75,France
1987-06,7.5,France
1987-07,7.5,France
1987-08,7.5,France
1987-09,7.5,France
1987-10,7.5,France
1987-11,8.0,France
1987-12,7.75,France
1988-01,7.25,France
1988-02,7.25,France
1988-03,7.25,France
1988-04,7.25,France
1988-05,7.0,France
1988-06,7.0,France
1988-07,6.75,France
1988-08,7.0,France
1988-09,7.0,France
1988-10,7.25,France
1988-11,7.25,France
1988-12,7.75,France
1989-01,8.25,France
1989-02,8.25,France
1989-03,8.25,France
1989-04,8.25,France
1989-05,8.25,France
1989-06,8.25,France
1989-07,8.75,France
1989-08,8.75,France
1989-09,8.75,France
1989-10,9.5,France
1989-11,9.5,France
1989-12,10.0,France
1990-01,10.0,France
1990-02,10.0,France
1990-03,10.0,France
1990-04,9.5,France
1990-05,9.5,France
1990-06,9.5,France
1990-07,9.5,France
1990-08,9.5,France
1990-09,9.5,France
1990-10,9.5,France
1990-11,9.25,France
1990-12,9.25,France
1991-01,9.25,France
1991-02,9.25,France
1991-03,9.0,France
1991-04,9.0,France
1991-05,9.0,France
1991-06,9.0,France
1991-07,9.0,France
1991-08,9.0,France
1991-09,9.0,France
1991-10,8.75,France
1991-11,9.25,France
1991-12,9.6,France
1992-01,9.6,France
1992-02,9.6,France
1992-03,9.6,France
1992-04,9.6,France
1992-05,9.6,France
1992-06,9.6,France
1992-07,9.6,France
1992-08,9.6,France
1992-09,9.6,France
1992-10,9.6,France
1992-11,9.1,France
1992-12,9.1,France
1993-01,9.1,France
1993-02,9.1,France
1993-03,9.1,France
1993-04,8.25,France
1993-05,7.5,France
1993-06,7.0,France
1993-07,6.75,France
1993-08,6.75,France
1993-09,6.75,France
1993-10,6.45,France
1993-11,6.45,France
1993-12,6.2,France
1994-01,6.2,France
1994-02,6.1,France
1994-03,6.0,France
1994-04,5.7,France
1994-05,5.4,France
1994-06,5.2,France
1994-07,5.0,France
1994-08,5.0,France
1994-09,5.0,France
1994-10,5.0,France
1994-11,5.0,France
1994-12,5.0,France
1995-01,5.0,France
1995-02,5.0,France
1995-03,5.0,France
1995-04,5.0,France
1995-05,5.0,France
1995-06,5.0,France
1995-07,5.0,France
1995-08,5.0,France
1995-09,5.0,France
1995-10,5.0,France
1995-11,4.8,France
1995-12,4.45,France
1996-01,4.2,France
1996-02,3.9,France
1996-03,3.8,France
1996-04,3.7,France
1996-05,3.7,France
1996-06,3.6,France
1996-07,3.55,France
