Time Series Search Export,Search term,Search filters,,Last update of Central bank policy rates data,Downloaded at,Source,Source URL,Download URL,About Central bank policy rates
,,,,2024-10-10,2024-10-11 15:29 CEST,BIS,"https:/data.bis.org/topics/CBPOL/BIS,WS_CBPOL,1.0/M.US?","https:/data.bis.org/topics/CBPOL/BIS,WS_CBPOL,1.0/M.US?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/CBPOL

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1960-10-31,F:Free,,A:Normal value,2.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1960-11-30,F:Free,,A:Normal value,0.25
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1960-12-31,F:Free,,A:Normal value,3.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1961-01-31,F:Free,,A:Normal value,2.25
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1961-02-28,F:Free,,A:Normal value,2.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1961-03-31,F:Free,,A:Normal value,2.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1961-04-30,F:Free,,A:Normal value,0.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1961-05-31,F:Free,,A:Normal value,1.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1961-06-30,F:Free,,A:Normal value,0.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1961-07-31,F:Free,,A:Normal value,2.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1961-08-31,F:Free,,A:Normal value,1.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1961-09-30,F:Free,,A:Normal value,1.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1961-10-31,F:Free,,A:Normal value,2.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1961-11-30,F:Free,,A:Normal value,1.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1961-12-31,F:Free,,A:Normal value,2.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1962-01-31,F:Free,,A:Normal value,1.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1962-02-28,F:Free,,A:Normal value,2.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1962-03-31,F:Free,,A:Normal value,2.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1962-04-30,F:Free,,A:Normal value,2.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1962-05-31,F:Free,,A:Normal value,2.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1962-06-30,F:Free,,A:Normal value,2.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1962-07-31,F:Free,,A:Normal value,2.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1962-08-31,F:Free,,A:Normal value,3.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1962-09-30,F:Free,,A:Normal value,2.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1962-10-31,F:Free,,A:Normal value,3.0
