Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2024-10-10,2024-10-11 18:02 CEST,BIS,"https:/data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.N.FR?","https:/data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.N.FR?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1968-01-31,F:Free,,A:Normal value,126.2
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1968-02-29,F:Free,,A:Normal value,126.39
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1968-03-31,F:Free,,A:Normal value,126.03
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1968-04-30,F:Free,,A:Normal value,125.44
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1968-05-31,F:Free,,A:Normal value,125.77
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1968-06-30,F:Free,,A:Normal value,125.19
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1968-07-31,F:Free,,A:Normal value,125.56
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1968-08-31,F:Free,,A:Normal value,126.15
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1968-09-30,F:Free,,A:Normal value,126.34
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1968-10-31,F:Free,,A:Normal value,127.39
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1968-11-30,F:Free,,A:Normal value,127.37
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1968-12-31,F:Free,,A:Normal value,127.91
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1969-01-31,F:Free,,A:Normal value,128.79
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1969-02-28,F:Free,,A:Normal value,128.83
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1969-03-31,F:Free,,A:Normal value,128.89
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1969-04-30,F:Free,,A:Normal value,128.83
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1969-05-31,F:Free,,A:Normal value,128.65
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1969-06-30,F:Free,,A:Normal value,128.87
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1969-07-31,F:Free,,A:Normal value,129.24
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1969-08-31,F:Free,,A:Normal value,119.77
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1969-09-30,F:Free,,A:Normal value,115.81
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1969-10-31,F:Free,,A:Normal value,113.19
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1969-11-30,F:Free,,A:Normal value,113.21
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1969-12-31,F:Free,,A:Normal value,113.01
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1970-01-31,F:Free,,A:Normal value,113.74
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1970-02-28,F:Free,,A:Normal value,113.86
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1970-03-31,F:Free,,A:Normal value,113.71
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1970-04-30,F:Free,,A:Normal value,113.54
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1970-05-31,F:Free,,A:Normal value,114.2
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1970-06-30,F:Free,,A:Normal value,114.49
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1970-07-31,F:Free,,A:Normal value,114.39
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1970-08-31,F:Free,,A:Normal value,114.2
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1970-09-30,F:Free,,A:Normal value,114.31
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1970-10-31,F:Free,,A:Normal value,113.76
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1970-11-30,F:Free,,A:Normal value,113.95
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1970-12-31,F:Free,,A:Normal value,113.74
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1971-01-31,F:Free,,A:Normal value,113.2
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1971-02-28,F:Free,,A:Normal value,113.4
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1971-03-31,F:Free,,A:Normal value,113.07
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1971-04-30,F:Free,,A:Normal value,113.18
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1971-05-31,F:Free,,A:Normal value,112.34
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1971-06-30,F:Free,,A:Normal value,111.92
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1971-07-31,F:Free,,A:Normal value,112.03
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1971-08-31,F:Free,,A:Normal value,110.96
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1971-09-30,F:Free,,A:Normal value,109.3
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1971-10-31,F:Free,,A:Normal value,108.14
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1971-11-30,F:Free,,A:Normal value,108.26
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1971-12-31,F:Free,,A:Normal value,108.68
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1972-01-31,F:Free,,A:Normal value,111.83
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1972-02-29,F:Free,,A:Normal value,112.6
